,index,date_uuid,user_uuid,card_number,store_code,product_code,1,product_quantity
476,477,da07d869-3af5-449c-ba8d-e3fe8ddf5454,fb02e619-b3fc-409e-a618-b96d417eb9e9,4492770534597,WEB-1388012W,g4-9072001Q,,4
477,478,de5927a1-e92f-4268-a30f-8b84a8152d98,832d576f-3932-4fb1-b3a1-bdc7fa717b16,3525339956689470,WEB-1388012W,c1-7535377V,,1
480,481,7475b446-8ed1-42a4-9ead-48c104f5d252,f5761749-f6ee-4f40-9cbc-c591e9407039,4067735370076910,WEB-1388012W,n4-3918150w,,1
482,483,d54843c2-22b3-4a8e-b645-4e357d8eb13c,1acb83a7-78ff-473c-b797-ae2844522b09,4564760824921,WEB-1388012W,p4-0982264P,,4
490,491,c4f81dcd-66fc-4c43-8055-a3dc941374f1,11b620ff-c624-4cd6-b85c-af701ce7b099,3508195688369740,WEB-1388012W,b8-7429081R,,1
491,492,e7ce084f-f80a-4d4f-b5bc-ce492c414636,9f31ac19-59e8-4965-a636-7f1b2b2c4de9,3545911548558710,WEB-1388012W,n8-5709092Q,,8
499,500,177a6e26-ccff-4903-820c-a449b10faf64,0b7888d6-c53c-42af-87e0-2ee181655845,180092150656337,WEB-1388012W,k4-5062143J,,3
503,504,56e01545-d0e1-4f70-ae53-02db5709a350,5b9eb407-a009-44a1-b1fc-d659c8401d23,4785446928816910,WEB-1388012W,g8-5394356Q,,2
510,511,7c90afd3-98d8-43ab-9300-d8e018aafd44,8993b88f-171f-4780-8188-5ea4ca9461f3,30419423025325,WEB-1388012W,J5-5467655W,,2
511,512,df0a723e-e966-4b2d-844a-6d5e9cac514c,b42c267d-3e71-4477-a603-227f3253b44a,3540411981626080,WEB-1388012W,P8-5893932r,,2
526,527,02cffba3-df18-41d1-836c-3a3e880f624d,d3b704aa-2343-4b93-b6c6-41791657494f,4589334853119980,WEB-1388012W,l0-9328260J,,1
533,534,cb4af520-bd12-40fb-b90b-c57f4e4abd41,5fe52fa5-df5b-40f8-a82e-06a399cdc5de,3525877598489650,WEB-1388012W,D1-6939216a,,2
534,535,5a59bd3a-3da5-4baf-ac42-aa5e3e388161,64d31870-5b07-44c6-9f82-84c7e9818b57,4450471183559030,WEB-1388012W,j0-0066317f,,13
567,568,ef8129c6-7548-467e-886c-fae9e5729654,792f3252-f82a-4cb9-b350-6a2e5170cef0,4391351479667350000,WEB-1388012W,o3-664480D,,3
573,574,247f2a0c-33be-44f8-a307-61f9c2305feb,b80f87e4-d2e0-4853-81c2-8c8e9f0d910b,36274123542556,WEB-1388012W,u4-0367037G,,7
577,578,ac051093-1399-4317-9d62-3417235e5412,8e78f071-042e-43cd-880e-27c4738cc447,375218328411231,WEB-1388012W,C8-2946597F,,5
582,583,e571a530-6444-4909-925e-72afe4f1448d,08a62a0f-93fa-487c-99d5-a7f21793f04b,3549538761771950,WEB-1388012W,c3-9437713N,,5
588,589,d6ba0ae3-655d-4c8b-bde2-991771fd6f0a,499c754b-7086-4270-a023-4825621618ec,4403854736404,WEB-1388012W,A7-2021984n,,3
594,595,8fd89539-875b-4770-9ba1-be53f272265c,1290f479-c61e-43a2-963e-ead0b5d85de6,180055583405655,WEB-1388012W,a5-8946426q,,2
597,598,554b1294-7572-4011-aa40-f4b0cc0f0eb6,33246ff5-c6ff-45f6-ac7d-f567e4828fea,375880611197676,WEB-1388012W,p1-3376164e,,1
605,606,19f0df3c-99d1-4f2e-bc15-36708e7ec6ea,346f21f6-1471-4ca3-bff7-bce937e720bd,4416573736075,WEB-1388012W,p6-5731646b,,2
613,614,3a5616c1-c5e3-444a-b7a0-a8147b7bd580,bc0d6293-c26e-4ea5-847b-c488b021e800,343237498815988,WEB-1388012W,X4-9961497r,,3
617,618,3df3cf10-1b97-4722-a970-69ea7cc1fecd,64816c98-4e45-4547-a325-4205755ed52f,3590393572728310,WEB-1388012W,C8-1764867S,,3
628,629,ffc9800d-a64b-4a8e-bd38-d20696e10a74,8e3d0a6c-a36d-487b-83df-3df79d9ca917,630468342211,WEB-1388012W,n0-4997207t,,2
634,635,1a0c8b2d-fefc-47d0-8220-e7e1467dfce6,0444bedd-f8c8-4c00-8108-34f11b438a71,6526241301336090,WEB-1388012W,p1-77230Z,,3
640,641,ebe63af7-0d13-447f-8068-b006283dcff7,dd187fc1-f192-4ff9-b0ce-7f773dc585bf,4478608940278150,WEB-1388012W,u3-5918699h,,8
654,655,94640981-893b-444c-97e0-48c6b58ca7a2,1f001894-0c02-4532-8446-d9f93747d216,4501903599313870000,WEB-1388012W,J5-3969624z,,1
658,659,4560a58c-6be3-4178-a862-a8feb80e031f,c802f64d-b1d7-4269-9944-9386f0e52a9e,4421717685345,WEB-1388012W,C2-2838299q,,15
667,668,30a330e1-a5e4-4634-ba54-ab8158ba8140,ccd91a18-921b-432b-897c-42e3c108b9e1,676195876955,WEB-1388012W,K6-618563n,,3
670,671,e982cc94-21c4-432c-928e-db86f80b7f42,4a958177-0b80-4e4b-b425-fedb5e78ceb0,30432961845046,WEB-1388012W,m8-31182P,,5
674,675,39e5e10a-9516-4784-80ee-b29ac94635f3,8c666b97-1aa5-46f4-9570-d46aa9111d9e,2282436649763040,WEB-1388012W,y6-4715692F,,3
694,695,c366f303-51ed-41c9-bee5-e153c9b1ab45,a59f8185-f1f6-4c22-968d-72a8bd9a4285,2294190816485710,WEB-1388012W,m6-7335196P,,2
698,699,3f2e8206-83cc-4c3e-9ce1-e8a204f7a889,4556c1f8-86ba-49ec-9067-00b24f5fc99c,379466637865748,WEB-1388012W,Q3-2574127m,,3
718,719,9bd18928-e8be-4592-b5e0-a159b9546356,23199ee5-2164-4b58-86cd-1b2fde4d2b76,4494940424568,WEB-1388012W,t0-9329490F,,4
735,736,894df1ea-f47f-48ad-bdfb-27f2f38b6700,e0baa75f-2baa-44cd-8e6d-823635be447e,345064881248090,WEB-1388012W,A5-6375265u,,1
760,761,25d01a6d-017a-4de2-bfe4-2d38df81dcd8,6c979ef9-ab10-4222-b660-68396bb628de,346745773013027,WEB-1388012W,V4-5991439h,,4
773,774,b6a4d07a-422e-4c99-95f4-f1669458a92a,3fedf3fa-365b-4217-9a99-8c0b71c9f0db,4930111329057450000,WEB-1388012W,l9-2511507d,,2
788,789,de07bba7-19e7-4f21-8a75-fbed109ca8c5,84cc2cde-c3b2-449b-b0b9-4fb541cc3f60,3592716055903160,WEB-1388012W,q3-6416614d,,1
789,790,612241ad-e8ba-469c-9103-2af7a8bcc4e7,395f9ff3-611a-4205-8650-762c809c9d21,6546302071893710,WEB-1388012W,e0-8956715V,,8
807,808,3a08a240-f854-4cdc-a9c2-8d5cf338bcd9,3c4f78ca-d580-4fa9-9612-9e7e97f7a359,3593101830028440,WEB-1388012W,I6-5226478m,,2
813,814,ed7a751e-fc27-4ba1-aef2-78b68d92a10a,e8cff56b-054f-4e6d-a0c0-36dd5366212b,3512083231972240,WEB-1388012W,J3-9903208K,,1
820,821,fd478684-7583-435d-bc61-d38aac4a747e,4a7b16cb-11b5-410e-9913-eed2a2ac6290,4561608122435,WEB-1388012W,i7-3171879O,,3
824,825,70cc2d3b-451c-4921-afbf-3740faedabb5,6a681775-c6e2-4150-966b-a2cedb7a97ff,180092318240446,WEB-1388012W,J9-1611190n,,3
826,827,23ab1952-7801-4516-83ca-6c5c2b27fd3a,64fcb26e-86da-4a78-9ff8-95b81dfe2e4e,3534426838054540,WEB-1388012W,d2-980828o,,4
827,828,78994d69-184e-4e6d-8f87-5cba37af0371,afe8abd1-7348-400f-8ed0-6650a73aa8f9,6011608132074610,WEB-1388012W,O7-1778835P,,2
830,831,81e55eac-b72c-4da4-a076-c5385b9bda66,e7e706ae-79d6-4918-8361-31ab32da759d,2289921097633470,WEB-1388012W,L0-5346470T,,12
848,849,b5f4a4ae-e98a-497f-9b72-8d309fcd925f,76f10fe4-58a9-4e87-9182-a0376553ae7d,6011962460606710,WEB-1388012W,N4-9903639L,,2
860,861,0c4defc4-c572-4bbe-9d45-bcf6034dade2,2710e2cf-8fad-44a2-943f-28a2a623b339,4390910386922960000,WEB-1388012W,x4-5296360k,,4
868,869,620c034d-ed67-4c69-8eec-114b7ff393a3,9f787480-81a5-4399-8e35-2fa027698d8c,3507595511312410,WEB-1388012W,U9-5517220l,,4
869,870,a243fc1b-b207-433a-a327-9736f43fd4b5,8f95ea08-f78d-48cc-ab77-45d9f15e6639,4112072534997290000,WEB-1388012W,F8-3029474C,,4
876,877,05b0eb47-4e9a-400a-ab62-4d10b20827a4,e6d8a973-73f1-485d-becb-461a465b1650,6542978884130510,WEB-1388012W,Y3-7227359Y,,10
885,886,7f90ffd0-2a7a-4b92-af4a-10323e95342d,90062a8e-0916-4879-9a6c-b1532b9462c5,4580155219910390,WEB-1388012W,d4-0434292J,,2
886,887,fdaa908f-1bc6-4aa4-8cf1-fb2663ffb295,ee62f3bb-e7d1-4ec6-8440-aab6e96e58d8,4192300433716220,WEB-1388012W,O3-7762763I,,13
894,895,bf572a68-ab6e-4920-b124-c2486f29cded,91499f4e-0ba0-475f-95c4-6eac1f542c49,5504565046531510,WEB-1388012W,a8-0081328Y,,1
898,899,4ad1b4cf-2f16-4489-801c-39e3c10f51e9,cceb965d-44a6-4c71-a209-24cc61b8f0b5,4298048067694,WEB-1388012W,k2-8031544A,,3
916,917,0fbc9668-460c-463a-a840-fc7ad8f9dca3,f7bc5f75-e4e6-48b7-bfcd-16f974a4ba22,3536132920765830,WEB-1388012W,u7-5613538D,,2
922,923,9ca25e6e-b208-429c-aca1-e82e16814239,ba22c0b3-39bf-498a-bc33-62b3b339a212,379026978508818,WEB-1388012W,e9-3411855h,,6
923,924,5b740287-05cf-4921-8a9a-5f172be3746d,a7fa75c5-0fa3-4385-8beb-f480b83a9959,3576058568816810,WEB-1388012W,C1-9805705Z,,5
926,927,f8c4684f-4fb3-44a4-96bd-6cc8259a8b05,a1798c06-79ee-4dab-8bf3-061a83a0b406,3580752058670320,WEB-1388012W,q3-0903846B,,3
927,928,45425a5c-0b24-4d0e-99f7-088e9346b253,948b01d8-9c8c-4f6a-bb0b-698b271d5fde,180049439342378,WEB-1388012W,C9-3091977Q,,11
928,929,5dae67b3-d5bf-4974-8864-0faa71de82a4,bd28d40f-f6b2-4938-acfa-146d58daea3c,4505349003160430,WEB-1388012W,B7-8564275r,,2
930,931,bcaa0d71-0e7a-4fb9-b384-edc3befc18eb,adddb6be-8f4a-4117-9fa9-4c64bd104701,3589181190785870,WEB-1388012W,q0-8015463z,,1
937,938,c160fae6-fb19-4f68-a878-194dccb9dd21,4908fa0b-ae19-4ca3-b6ce-2cd26313f2f6,2720092543167140,WEB-1388012W,E3-7763941i,,3
945,946,0190b3f2-2b4e-458f-99ed-ad0f7d9d9332,ade581a3-0f47-4981-88db-7fabc9c137cd,213151121178770,WEB-1388012W,t8-3565329Q,,1
947,948,02f46a7b-f183-4a70-8fbc-9eaf6549081b,8f7c18b3-0cde-4ce2-8310-1509af4ee631,4949782488077080000,WEB-1388012W,n6-817161d,,6
956,957,575c0c40-31c9-4386-b59c-54c6a4b09fe8,7e963fc0-71b3-4c27-8949-7f40ca588e05,372440290055449,WEB-1388012W,w6-2721045k,,1
958,959,232dc8f2-7914-417e-8b76-35fa3afd5c01,411c76fd-488b-448a-ab0a-5854b505950c,30098785955186,WEB-1388012W,X5-1388618x,,4
961,962,d082cac9-cd76-4754-ae96-a3f0509eeb7b,d2ce5b01-550b-40a4-88fa-d0eadbea6488,3528051321422190,WEB-1388012W,p7-5893734s,,7
966,967,3912d47a-9ebc-4287-b91b-d812c86e3235,99397abf-b14c-497b-8dad-991fc8179f70,4007884238564150,WEB-1388012W,N4-421458X,,3
975,976,e64d5b30-eda9-4997-b42f-99133df2de79,5d29c461-d7a5-45e9-a002-5a4ef72825c6,373134065403830,WEB-1388012W,h0-2129194S,,4
1003,1004,2f6e2206-846d-453f-b258-1f594aad499b,5d9d678c-bb7b-4396-80ba-f0d39bf09170,4504395184234,WEB-1388012W,v8-9494130l,,1
1015,1016,7b6f6f3e-7335-4e9d-818c-fde06a0752e4,ef7870b6-5e24-4104-b4bd-b8cd27243dfd,4229270612183360,WEB-1388012W,R2-2024812r,,4
1034,1035,235461a8-fa8e-4be4-b77a-335cbe670641,7050c3db-8ce4-4624-9060-31465ca987d3,4380030309423,WEB-1388012W,j3-4846040O,,6
1036,1037,fcf559a5-91e5-49de-a55a-18b0f168e6c9,73a7d4b9-b6b4-466d-a811-b083ba53bb36,676177155279,WEB-1388012W,a8-9423443L,,2
1042,1043,945e6c65-a60b-4db7-91f3-0570bb20ef28,23a2643a-4392-4e02-abe6-1657676c68f8,3558244711285730,WEB-1388012W,O8-8831294Y,,14
1046,1047,19a6bd80-7c2a-4868-89e6-4662c0fdfe5c,033ac221-1b33-4530-828c-e30eb0e39ff6,38420329722801,WEB-1388012W,z4-4417645F,,2
1061,1062,789c07c8-93d2-4492-9176-1c08fc2c72a0,3543e897-9c31-44ca-aac1-a82a004dfca3,4041442005783070,WEB-1388012W,k1-1529005F,,4
1066,1067,03e4464d-3b6c-487d-9039-9a02aed3fd00,447e71d8-a24d-44fd-8041-56604fdd1083,3521084560145570,WEB-1388012W,h6-2677457q,,2
1074,1075,e6b93416-c7ed-4208-8e41-4e4f10458bc8,5f48706f-605e-466d-8893-62d283037ccd,4715796098981770,WEB-1388012W,b5-5777732h,,2
1080,1081,05dd5e05-a800-4009-97ed-9810dd35c0dd,f9319cf8-8a7a-4a52-aa8a-968eeaf742e3,213106243563937,WEB-1388012W,k9-6288204j,,5
1099,1100,2aab052b-4053-4409-9682-ba290fcd896e,dee34bd1-5de0-4890-9862-e98d24d331d7,3510746063269640,WEB-1388012W,b9-1519143R,,5
1102,1103,5b45e0cd-0f3b-47ad-816e-248c085d0824,d56e8884-d6ff-420a-a867-8f8da2523762,343764616372980,WEB-1388012W,P3-8906578R,,6
1104,1105,18affb85-3a56-41d9-a68b-6a01c443dcf2,54c3c4b1-6580-4b06-8377-b841fef18215,60407078405,WEB-1388012W,j8-4818452U,,5
1111,1112,cd12e631-9d8a-4e6b-b9bb-09679a50a845,d2f440f4-e728-4d0c-81ef-a9a3d1fe5f19,378053117659311,WEB-1388012W,c0-432378A,,3
1122,1123,e78d58ea-83f1-4074-a462-0ffbad783f01,0d80534d-380f-435b-8387-75ca16299aeb,4252299704422,WEB-1388012W,m0-090471z,,4
1127,1128,86684f63-e470-4fd8-87e7-5456219ce5c7,aba5e1bf-1900-4287-aa57-43b0f98f8025,180041036623425,WEB-1388012W,Z0-1502292b,,2
1144,1145,1671a26e-754f-440d-bc75-1fc532533719,dc6d2e59-b2ae-4572-b343-96028d8043dc,6579839130901240,WEB-1388012W,m8-0068640g,,1
1154,1155,ebc8dd1c-3ff9-48c2-816b-364bd667ccad,52d4008c-548a-446c-bee0-76d5a6d98792,3553864070911620,WEB-1388012W,j6-2845062P,,12
1161,1162,42d435f7-fdec-431d-8cf7-5c53de153da7,ff012ac1-dc33-4e9c-9f85-e300e8e776c1,2354122823219540,WEB-1388012W,v6-6268053n,,12
1176,1177,e57000aa-ac28-464a-9e77-9970decc4ae7,d9d4e917-3e77-42aa-a72c-847e143d38f7,3597684752028080,WEB-1388012W,F7-0193105x,,5
1190,1191,c806f163-5c24-4b53-a580-796227eb40b5,60f0007e-40e5-4031-a78d-11c20da83904,4475287905624,WEB-1388012W,R1-9246874e,,13
1193,1194,246cdc5e-effd-4439-b326-78e36129668d,39af04e8-8048-4662-8e4e-981281e8af5c,180062134213265,WEB-1388012W,E0-8492997p,,7
1197,1198,1807f95b-70c7-4530-9caa-96b2ce97bb01,c519d67b-050b-431f-abc8-25e7bb30c25c,3539253906333870,WEB-1388012W,I9-1517877U,,3
1199,1200,368e6f16-503d-45e7-9d5d-46f15df58a36,ee659f26-80e4-4299-a3d7-d2891c5732dd,4020143346511520,WEB-1388012W,Y4-061932P,,2
